,date,open,high,low,close,volume
4450,2011-08-03,2409.15,2442.684,2404.436,2429.611,3982853600
4451,2011-08-04,2432.512,2448.993,2429.475,2438.312,3687348000
4452,2011-08-05,2373.455,2400.167,2358.172,2382.264,4419661600
4453,2011-08-08,2353.374,2368.152,2252.127,2284.815,6387714400
4454,2011-08-09,2226.825,2291.901,2195.779,2276.814,5808476800
4455,2011-08-10,2308.95,2328.714,2297.88,2301.099,5272379200
4456,2011-08-11,2263.617,2327.452,2259.819,2326.822,5118305600
4457,2011-08-12,2337.85,2354.476,2334.656,2340.023,5339943600
4458,2011-08-15,2345.777,2364.63,2333.012,2364.321,4835959600
4459,2011-08-16,2367.33,2371.823,2342.773,2349.205,4844438400
4460,2011-08-17,2344.805,2357.04,2333.951,2337.871,3939199200
4461,2011-08-18,2337.967,2339.495,2295.242,2296.456,4418024400
4462,2011-08-19,2258.991,2276.341,2251.109,2273.288,4235896800
4463,2011-08-22,2273.378,2290.262,2247.23,2254.415,3643879200
4464,2011-08-23,2262.507,2288.406,2253.251,2288.245,3563468800
4465,2011-08-24,2297.06,2303.478,2274.542,2279.044,3930064000
4466,2011-08-25,2282.579,2339.473,2278.222,2338.758,5071407200
4467,2011-08-26,2326.887,2342.632,2319.499,2337.497,4205400800
4468,2011-08-29,2325.132,2325.132,2307.149,2313.634,3979844400
4469,2011-08-30,2328.207,2344.379,2298.698,2300.333,4091456800
4470,2011-08-31,2300.754,2309.159,2278.157,2297.508,3370415200
4471,2011-09-01,2299.417,2311.335,2277.182,2283.055,3213236800
4472,2011-09-02,2278.942,2286.177,2247.269,2257.924,3092477000
4473,2011-09-05,2241.361,2241.361,2204.746,2204.839,3148918400
4474,2011-09-06,2191.611,2209.949,2184.932,2196.079,2806970800
4475,2011-09-07,2206.059,2237.097,2199.483,2236.918,3328434600
4476,2011-09-08,2246.137,2246.137,2219.178,2219.747,3397936000
4477,2011-09-09,2225.739,2242.739,2203.449,2212.967,2791919600
4478,2011-09-13,2186.079,2189.392,2169.127,2182.863,2864405200
4479,2011-09-14,2190.715,2200.066,2155.974,2199.53,2936534400
4480,2011-09-15,2196.485,2208.442,2190.467,2194.817,3013284800
4481,2011-09-16,2204.127,2212.642,2194.34,2198.03,2683556000
4482,2011-09-19,2188.982,2188.982,2157.181,2157.181,2723919200
4483,2011-09-20,2152.682,2178.465,2145.302,2166.272,2758421600
4484,2011-09-21,2167.791,2236.443,2159.6,2232.69,5021447200
4485,2011-09-22,2211.792,2219.81,2169.791,2170.544,4376814400
4486,2011-09-23,2137.154,2165.076,2127.673,2159.852,3888748000
4487,2011-09-26,2143.553,2170.2,2124.002,2133.942,3250933800
4488,2011-09-27,2150.01,2161.718,2134.391,2154.932,3162241600
4489,2011-09-28,2165.597,2168.552,2128.319,2137.404,3330169800
4490,2011-09-29,2122.348,2129.196,2102.738,2108.947,3548949600
4491,2011-09-30,2111.049,2117.756,2090.621,2104.185,2665715200
